Rank,NCT_Number,Title,Recruitment,Study Results,Conditions,Interventions,Sponsor_Collaborators,Gender,Age Groups,Phases,Enrollment,Funded Bys,Study Types,Study Designs,Other IDs,First Received,Start Date,Completion Date,Last Updated,Last Verified,Results First Received,Acronym,Primary Completion Date,Outcome Measures,URL
18,NCT02751580,Telehealth in Improving Quality of Life in Patients During Post Radiation Therapy Visits,Recruiting,No Results Available,Malignant Neoplasm,Other: Telemedicine|Other: Questionnaire Administration,Thomas Jefferson University,Both,Adult|Senior,,65,Other,Interventional,Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Health Services Research|Masking: Open Label,15D.580,"April 11, 2016",Mar-16,null,"April 25, 2016",Apr-16,No Study Results Posted,null,Aug-21,"Feasibility of conducting a future randomized clinical trial comparing telehealth and in person visits (i.e., rate of accrual)|Patient satisfaction with telehealth visits as measured by the Patients Satisfaction with Cancer Care score|Patient assessment of physician communication during telehealth visit as measured by the Communication assessment tool|Patient distrust in the healthcare system as measured by the health care system distrust scale|Physicians ability to evaluate a patient during a telehealth visit as measured by the physician questionnaire|Physician satisfaction with post-treatment telehealth visit as measured by the modified physician satisfaction scale|Patient costs for telehealth visit based on questionnaire response|Clinic savings derived from telehealth visits",https://ClinicalTrials.gov/show/NCT02751580
19,NCT02751554,PET Imaging of Patients With Cancer Using 124I-PU-AD,Recruiting,No Results Available,Solid Malignancy|Lymphoma|Multiple Myeloma,Drug: 124I-PU-AD|Device: PET Scan|Other: Blood draws,Memorial Sloan Kettering Cancer Center,Both,Adult|Senior,,10,Other,Interventional,Endpoint Classification: Pharmacokinetics/Dynamics Study|Intervention Model: Single Group Assignment|Primary Purpose: Diagnostic|Masking: Open Label,16-004,"April 19, 2016",Apr-16,null,"April 21, 2016",Apr-16,No Study Results Posted,null,Apr-18,the plasma time activity concentration curves,https://ClinicalTrials.gov/show/NCT02751554
20,NCT02751450,The Efficacy of an Occluding Dentifrice in Providing Relief From Dentinal Hypersensitivity(DH),Recruiting,No Results Available,Dentin Sensitivity,Device: Stannous Fluoride dentifice|Other: Sodium Monofluorophosphate dentifrice,GlaxoSmithKline,Both,Adult,,230,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Single Blind (Investigator),205084,"April 21, 2016",Feb-16,May-16,"April 21, 2016",Apr-16,No Study Results Posted,null,May-16,Change from baseline in Schiff sensitivity score after 3 days use|Change from baseline in tactile threshold after 3 days use|Change from baseline in Schiff sensitivity score after a single 60 second direct application|Change from baseline in tactile threshold after a single 60 second direct application,https://ClinicalTrials.gov/show/NCT02751450
21,NCT02751411,Effectiveness & Safety of Natural Microenemas Against Oral Macrogol 4000 in Chronic Constipation in Children 6-24 Months,Recruiting,No Results Available,Functional Constipation,Device: micro-enema with Promelaxin|Drug: Macrogol 4000,Aboca Spa Societa' Agricola,Both,Child,Phase 4,120,Industry,Interventional,Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label,ABO-MELI-15,"April 22, 2016",Apr-16,Aug-17,"April 22, 2016",Apr-16,No Study Results Posted,null,Jun-17,"Improvement of constipation evaluated as a reduction of the typical symptoms of chronic functional constipation|score of the quality of life of parents calculated on day 21 and 56|score of the quality of life of children calculated on day 21 and 56|Gastrointestinal symptoms in infants on days 14, 21 and 56|changes in the intestinal microbioma on day 21 and 56|Evaluation of the normalization of intestinal activity measured by recording frequency of evacuations and stool consistency on day 14, 21 and 56|Product safety in terms of adverse events reported by parents/legal representative of the subject.",https://ClinicalTrials.gov/show/NCT02751411
22,NCT02751333,Esophageal Stent Migration With Endoscopic Suture Fixation Compared to Standard Deployment,Recruiting,No Results Available,Esophageal Strictures|Esophageal Leak|Esophageal Perforation|Esophageal Fistula|Endostitch|Esophageal Stent,Procedure: FCSEMS with Endostitch (ES)|Procedure: FCSEMS with No Suturing (NS)|Device: Fully Covered Self-Expanding Metal Stents (FCSEMS)|Device: EndoStitch (ES) with the OverStitchTM system,Johns Hopkins University,Both,Adult|Senior,Phase 2,120,Other,Interventional,Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Single Blind (Subject),IRB00091684,"April 18, 2016",Mar-16,Mar-18,"April 21, 2016",Apr-16,No Study Results Posted,null,Mar-18,Number of participants with Stent Migration as assessed by Symptoms suggestive of stent migration or objective evidence of migration on radiological imaging or endoscopy.|Clinical success of stent deployment as assessed by the relief of the pre-stent dysphagia|Procedure time|Stent insertion complication rate|Quality of life,https://ClinicalTrials.gov/show/NCT02751333
23,NCT02751320,Efficacy of Three Toothpastes Using an in Situ Caries Model,Recruiting,No Results Available,Dental Caries,"Drug: 0.425 % w/w phytate,1150ppm F|Drug: 0.85 % w/w phytate,1150ppm F|Drug: 0.85 % w/w phytate,0.3%ZnCl2 0.5% sodium citrate, 1150ppm F|Other: 0 ppm F|Drug: 1150ppm F|Drug: 0.3%ZnCl2, 0.5% sodium citrate, 1150ppm F",GlaxoSmithKline,Both,Adult|Senior,,60,Industry,Interventional,Allocation: Randomized|Intervention Model: Crossover Assignment|Primary Purpose: Basic Science|Masking: Single Blind (Outcomes Assessor),202301,"April 21, 2016",Feb-16,Aug-16,"April 21, 2016",Apr-16,No Study Results Posted,null,Jul-16,"Percentage Surface Microhardness Recovery (SMHR) of phyte (0% 0.425% and 0.85%) at 2 weeks|Transverse Microradiography (TMR) net remineralization change (ëÓM) value of of phytate (0% 0.452% and 0.85%) at 4 weeks|Enamel Fluoride Uptake (EFU) of phytate (0%, 0.452% and 0.85%) at 4 weeks|Percentage Surface Microhardness Recovery (SMHR) of 0.85% phytate compared to 0% phytate in presence of 1150ppm F and 0.3% zinc chloride (ZnCl2) at 2 weeks|TMR ëÓm Value of 0.85% Phytate Compared to 0% Phytate in the presence of 1150ppm F and 0.3% ZnCl2 at 4 Weeks|Percentage Surface Microhardness Recovery (SMHR) of 0.3% ZnCl2 compared to 0% ZnCl2 in the presence of 1150ppm F at 2 weeks|TMR ëÓm Value of Of 0.3% ZnCl2 Compared to 0% Zncl2 in the presence of 1150ppm F at 4 Weeks|Percentage Surface Microhardness Recovery (SMHR) of 0.3% ZnCl2 to 0% ZnCl2 in the presence of 1150ppm F and 0.85% phytate at 2 weeks|TMR ëÓm Value of 0.3% ZnCl2 to 0% ZnCl2 in the presence of 1150ppm F and 0.85% phytate at 4 Weeks|Enamel Fluoride Uptake (EFU) of the study formulation variables",https://ClinicalTrials.gov/show/NCT02751320
24,NCT02751177,"Detection of KRAS, NRAS et BRAF Mutations in Plasma Circulating DNA From Patients With Metastatic Colorectal Cancer",Recruiting,No Results Available,Colorectal Cancer Metastatic,"Genetic: KRAS, NRAS et BRAF mutation analysis from circulating plasma DNA",Institut de CancÌ©rologie de Lorraine,Both,Adult|Senior,,236,Other,Interventional,Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Diagnostic|Masking: Open Label,2015-A01272-47,"March 3, 2016",Mar-16,Dec-16,"April 21, 2016",Apr-16,No Study Results Posted,ColoBEAM,Oct-16,"KRAS, NRAS et BRAF mutational status",https://ClinicalTrials.gov/show/NCT02751177
25,NCT02751151,Photodynamic Therapy for Prevention of Nonmelanoma Skin Cancer in Organ Transplant Recipients,Recruiting,No Results Available,Nonmelanoma Skin Cancers,Other: have Levulan Kerastick (aminolevulinic acid) solution,"Inova Health Care Services|DUSA Pharmaceuticals, Inc.",Both,Adult|Senior,Phase 2,20,Other|Industry,Interventional,Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label,15-1845,"March 21, 2016",Feb-16,null,"April 21, 2016",Apr-16,No Study Results Posted,PDT,Feb-20,Number of non melanoma skin cancers in organ transplant recipients|Reduction of actinic keratosis damage/epidermal dysplasia in organ transplant recipients as assessed by physician and graded per actinic damage scale,https://ClinicalTrials.gov/show/NCT02751151
26,NCT02751138,Determination of Immune Phenotype in Glioblastoma Patients,Recruiting,No Results Available,Glioblastoma Multiforme,Procedure: Surgery,University of Ulm,Both,Adult|Senior,,250,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,University Hospital Ulm,"April 19, 2016",Mar-16,Mar-18,"April 25, 2016",Apr-16,No Study Results Posted,null,Mar-18,Overall survival|Progression free survival|Quality of life|Karnofsky performance score,https://ClinicalTrials.gov/show/NCT02751138
27,NCT02751125,Reconstruction of Jaw Bone Using Mesenchymal Stem Cells,Recruiting,No Results Available,Bone Atrophy,Drug: BCP with autologous mesenchymal stem cells (MSC).,University of Bergen|University of Ulm|Haukeland University Hospital|UniversitÌ© de Nantes,Both,Adult|Senior,Phase 1,13,Other,Interventional,Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label,2012-003139-50,"March 22, 2016",Jun-14,Dec-19,"April 25, 2016",Apr-16,No Study Results Posted,null,Dec-17,Amount of newly formed bone induced by MSCs and the bone substitute. These measurements are based on radiological assessments.|Implant stability|Incidence of Treatment-Emergent Adverse Events [Safety and Tolerability],https://ClinicalTrials.gov/show/NCT02751125
28,NCT02751112,Evaluation of a Kit for the Prediction of the Risk of Graft Versus Host Disease,Recruiting,No Results Available,Hemopathy,Biological: Predictor' kit,Imagine Institute,Both,Adult,,122,Other,Interventional,Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Prevention|Masking: Open Label,IMIS2014-03,"April 13, 2016",Nov-15,May-18,"April 25, 2016",Mar-16,No Study Results Posted,Predictor007,May-18,Assessment of the diagnosis test performance|Assessment of the reproductibility of the test,https://ClinicalTrials.gov/show/NCT02751112
29,NCT02751099,Bone and Cardiovascular Disease After Kidney Transplant,Recruiting,No Results Available,Chronic Renal Insufficiency|Disorder Related to Renal Transplantation|Metabolic Bone Diseases|Vascular Disease,Other: transplanted patients,Centro Hospitalar de Lisboa Central,Both,Adult|Senior,,80,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,CHLC.CI363.2016,"April 21, 2016",Nov-15,Dec-18,"April 21, 2016",Apr-16,No Study Results Posted,null,Jan-18,Metabolic Bone Diseases|Cardiovascular disease|Bone fracture|vascular calcification,https://ClinicalTrials.gov/show/NCT02751099
30,NCT02751086,"Robotic, Laparoscopic and Open Gastrectomy Compared on Short and Long Term Outcomes",Recruiting,No Results Available,Gastric Cancer,Procedure: Robotic Gastrectomy|Procedure: Laparoscopic Gastrectomy,International Study Group on Minimally Invasive Surgery for Gastric Cancer,Both,Adult|Senior,,5000,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,2,"April 10, 2016",Apr-16,Dec-24,"April 21, 2016",Apr-16,No Study Results Posted,IMIGASTRICII,May-19,Rate of patients with intraoperative adverse events|Mean of retrieved lymph nodes|Rate of patients alive|Mean post-operative hospital stay|Rate of complications after discharge,https://ClinicalTrials.gov/show/NCT02751086
31,NCT02751073,Evaluation of the Relationship Between Vaginal and Lower Urinary Tract Microbiomes and Infection After Hysterectomy,Recruiting,No Results Available,Pelvic Organ Prolapse|Hysterectomy|Urinary Tract Infection,,Mayo Clinic,Female,Adult|Senior,,20,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,15-006300,"February 22, 2016",Feb-16,Jun-17,"April 21, 2016",Apr-16,No Study Results Posted,null,Jun-17,Identification of baseline vaginal microbiome through DNA extraction and 16S rRNA gene sequencing|Identification of baseline urinary tract microbiome through DNA extraction and 16S rRNA gene sequencing|Identification of pre-operative vaginal microbiome through DNA extraction and 16S rRNA gene sequencing|Identification of pre-operative urinary tract microbiome through DNA extraction and 16S rRNA gene sequencing|Identification of the immediate postoperative vaginal microbiome through DNA extraction and 16S rRNA gene sequencing|Identification of the immediate postoperative urinary tract microbiome through DNA extraction and 16S rRNA gene sequencing|Identification of the postoperative vaginal microbiome through DNA extraction and 16S rRNA gene sequencing|Identification of the postoperative urinary tract microbiome through DNA extraction and 16S rRNA gene sequencing|Identification of vaginal microbiome in the setting of postoperative urinary tract infection through DNA extraction and 16S rRNA gene sequencing|Identification of urinary tract microbiome in the setting of postoperative urinary tract infection through DNA extraction and 16S rRNA gene sequencing|Identification of key biomarkers associated with risk of postoperative urinary tract infection through proteomic mass spectrometry analysis of vaginal swab collected in the setting of postoperative urinary tract infection|Identification of the vaginal microbiome at least 6 weeks following surgery through DNA extraction and 16S rRNA gene sequencing|Identification of the postoperative urinary tract microbiome at least 6 weeks following surgery through DNA extraction and 16S rRNA gene sequencing,https://ClinicalTrials.gov/show/NCT02751073
32,NCT02750891,A Study of DSP-7888 in Pediatric Patients With Relapsed or Refractory High Grade Gliomas,Recruiting,No Results Available,Glioblastoma|Diffuse Intrinsic Pontine Glioma,Drug: DSP-7888,"Sumitomo Dainippon Pharma Co., Ltd.",Both,Child|Adult,Phase 1|Phase 2,30,Industry,Interventional,Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label,DB601001,"April 13, 2016",Apr-16,Apr-19,"April 25, 2016",Apr-16,No Study Results Posted,null,Jan-18,DLT (dose-limiting toxicity)|Overall Survival •_öOS•_ä|Overall Response Rate•_öORR•_ä|Progression-free survival (PFS)|adverse events (AEs)|serious adverse events (SAEs)|DTH •_ödelayed-type hypersensitivity•_ä|WT1 peptide-specific CTL-induction activity|expression of WT1 in biopsy tissues|expression of HLA in biopsy tissues|expression of PD-L1 in biopsy tissues,https://ClinicalTrials.gov/show/NCT02750891
33,NCT02750878,Surgical Consent Process for Trans-obturator Tape Slings.,Recruiting,No Results Available,"Urinary Incontinence, Stress",Other: Informational Handout,Boston Urogynecology Associates,Female,Adult|Senior,,120,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label,034-2015,"April 14, 2016",Nov-15,Jul-18,"April 21, 2016",Apr-16,No Study Results Posted,null,Jul-18,A knowledge questionnaire at the pre-operative holding area to measure the patients' knowledge regarding their Trans Obturator Tape surgery. The percentage of correct answers will be reported and analyzed.,https://ClinicalTrials.gov/show/NCT02750878
